,nickname,text,score,like,dislike,time,watch_movie
3432,ksya****,차별을 극복하기 위해서는 진취적인 행동이 필요하다는 것을 통쾌하게 잘 보여준 최고의 영화,10,0,1,2017-08-08 03:25:00,0
3433,카게야마토비오(rkdg****),최고의 명작... 풍자와 교훈까지 덤으로..,10,0,1,2017-08-07 23:35:00,0
3434,군이(wjdd****),보면서 배울 점이 많았던 영화였습니다. 흥행하지 못해 아쉽네요.,10,0,1,2017-08-07 18:42:00,0
3435,여니(taes****),"얼마나 많은 사람들의 이름이 차별에 의해 역사 속에서 지워져 왔고, 지워지고 있는지에 대해 생각하게 해주는 영화.",10,0,1,2017-08-06 21:59:00,0
3436,hwoo****,잔잔하게 실화를 잘 그려낸 영화입니다.,10,0,1,2017-08-06 18:11:00,0
3437,상욱(sunk****),도오기기이잉나너조너아아아아,10,0,1,2017-08-06 08:27:00,0
3438,조승영(gopp****),진짜 역대급 으로 제 인생영화중 하나네요..,10,0,1,2017-08-05 17:02:00,0
3439,VIVIANA(wltl****),킬링타임용로 골랐다가 울며 다봄...,10,0,1,2017-08-04 00:51:00,0
3440,요마(kdya****),라라랜드보다 작품성도 높고 훌륭함. . 감동임.,10,0,1,2017-08-03 01:01:00,0
3441,FreeDa(free****),이게 영화지! 실화만한 감동은 없네요..,10,0,1,2017-08-01 19:29:00,0
3442,양선정(lyso****),치마를 입어서가 아니라 안경을 썼기 때문에 나사에서 일한다는 캐서린의 말이 참 인상깊네요,10,0,1,2017-08-01 00:52:00,0
3443,궁영준(kung****),내인생에서 다섯손까락안에 드는 명작중에 명작 감동과 교훈을 알려준 그런영화였습니다.,10,0,1,2017-07-31 18:29:00,0
3444,궁빈(9bjj****),최고의 영화 희열과 감동이 느껴지는 영화,10,0,1,2017-07-30 17:50:00,0
3445,별이(ahye****),최고입니다. 볼거리에만 초점을 맞춘 상업성 영화들이랑은 차원이 다릅니다. 인생 영화 될 만 합니다. 모두가 이 영화를 봐야합니다!,10,0,1,2017-07-30 16:14:00,0
3446,봄이언니(oma1****),내 인생 최고의 영화들 중 하나,10,0,1,2017-07-30 16:02:00,0
3447,누리다솜(e033****),열심히 살아야지  남탓 세상탓하지말고,10,0,1,2017-07-29 23:13:00,0
3448,경엽맘(lhae****),영화를 통해 잔잔하지만 뭉클한 느낌을 오랜만에 받아봅니다.,10,0,1,2017-07-28 21:59:00,0
3449,이진솔(ng41****),너무 잘 봤어요! 진짜 온 마음과 손바닥 발바닥 손가락 발가락 겁나 크게 짝짝침,10,0,1,2017-07-27 23:17:00,0
3450,꽁냥(eun_****),몇번을 다시봐도 아깝지않을 인생영화,10,0,1,2017-07-27 22:06:00,0
3451,grace216(sunn****),26 년 살면서 이렇게 멋있는 여성 들을 주제로 만든 영화는 처음인것 같았을 만큼 심장이 두근대고 소름이 돋을 정도로 최고의 작품 이였습니다 ^^,10,0,1,2017-07-23 14:21:00,0
3452,Gorvacov(jimh****),영화를 보면서 정말 많은 생각을 했다.실화라는 점에서 더욱 인상적인 영화였다.고정관념을 타파하고 항상 더 나은 솔루션을 찾아서 발전하는 것이 인간이고 문명이다.,10,0,1,2017-07-23 11:58:00,0
3453,지니야꿈이야(pear****),ㅜㅜ넘 감동이어서 보다가 눈물났어요... 명작!,10,0,1,2017-07-20 01:27:00,0
3454,눈송이(tpdu****),"정말 멋진 영화였다. 보는 내내 소름돋는 장면이 너무 많았다. 캐서린이 우주 임무 그룹에서 서러움을 참지 못해 큰소리로 호소하는 장면, 부장이 유색인종 화장실 표지판을 뜯어내는 장면, 백인학교 최초의 '흑인&...",10,0,1,2017-07-17 14:12:00,0
3455,꽃요밥(2001****),학교에서 보여줘서 최근에 봤는데 진짜 느껴지는게 많은 영화,10,0,1,2017-07-17 02:56:00,0
3456,k752****,제 인생 최대의 영화에요,10,0,1,2017-07-16 15:14:00,0
3457,만다린(juli****),"""09시 34분 발사되었습니다"" 라는 두근거림의 순간이란",10,0,1,2017-07-16 00:34:00,0
3458,김재혁(kjhs****),영화 평점 등록이 왜케 어렵냐 요즘은 실화 영화들이 좋더랑,10,0,1,2017-07-15 23:16:00,0
3459,용타(yong****),거봐 같이 해도 잘만 되잖아. 버러지 같은 흰둥이들아.,10,0,1,2017-07-15 19:53:00,0
3460,재니(jae_****),차별이 난무하는 지금.. 그 시대의 멋진 여성들??,10,0,1,2017-07-15 02:06:00,0
3461,whth****,최고입니다 세번넘게봤어요,10,0,1,2017-07-14 20:40:00,0
3462,밤비(iclc****),잔잔하면서도 멋진 영화네요~,10,0,1,2017-07-14 00:21:00,0
3463,파란자갈(miau****),역시 개인이나 인권이나 기술이나 국가에 있어서도 도전을 해야 발전이 있는 것이지 거져얻어지는건 없다는걸 새삼 느끼게 해준 영화였습니다. 그리고 우리나라의 경우도 내년 75톤짜리 로켓엔진들어간 2단 로켓 시험발사가 있...,10,0,1,2017-07-13 17:39:00,0
3464,shae****,말이필요없는영화.꼭보세요꼭,10,0,1,2017-07-13 03:20:00,0
3465,보노보노(chon****),오랜만에 좋은 영화 봤어요~,10,0,1,2017-07-13 03:08:00,0
3466,주썽(ok03****),"진짜 인생영화중에 하나, 놀랍고 그녀들을 존경하게 되는 영화 내 자신은 뭐하고있나..",10,0,1,2017-07-12 23:25:00,0
3467,스파이크(chun****),"11점을 주고 싶지만 10점밖에 없기에,,",10,0,1,2017-07-12 01:36:00,0
3468,신상(aslt****),최고의 영화였습니다.,10,0,1,2017-07-11 17:56:00,0
3469,라이언(love****),제 생의 최고의 영화 중 한부분 입니다.,10,0,1,2017-07-11 10:50:00,0
3470,이번(yoon****),오랜만에 제대로 된 영화 하나 봤다,10,0,1,2017-07-09 23:48:00,0
3471,갈렙(leeg****),"좋습니다.  잘 봤어요. 우리에겐 꿈이 있습니다. 마틴 루터 킹 쥬니어  목사님의  연설의 한 대목이 떠오르네요. 흑백갈등너머  미국에 천국이 이루어 지는 비전,  실화라서  더욱 감동입니다. 감사합니다.",10,0,1,2017-07-08 20:35:00,0
3472,드라마영화(qhch****),"연출, 연기 모두 다 훌륭하다",10,0,1,2017-07-08 01:38:00,0
3473,완벽해(20a3****),단언컨대 올해본 최고의영화다.엔딩크레딧이 올라가는데도 영화를 끌수가없다.너무좋았다. 정말 좋았다.안본사람들 꼭봐라. 감동과 유쾌.. 똑똑해지고 싶어지게 만드는 영화..,10,0,1,2017-07-07 02:16:00,0
